@relation CSV_data

@attribute BCharge numeric
@attribute Binding {TRUE,FALSE}
@attribute CPhilic numeric
@attribute CisPro {TRUE,FALSE}
@attribute Clash numeric
@attribute Glycine numeric
@attribute HBonds numeric
@attribute Impact numeric
@attribute Interface numeric
@attribute MLargest1 numeric
@attribute MLargest10 numeric
@attribute MLargest2 numeric
@attribute MLargest3 numeric
@attribute MLargest4 numeric
@attribute MLargest5 numeric
@attribute MLargest6 numeric
@attribute MLargest7 numeric
@attribute MLargest8 numeric
@attribute MLargest9 numeric
@attribute NLargest1 numeric
@attribute NLargest10 numeric
@attribute NLargest2 numeric
@attribute NLargest3 numeric
@attribute NLargest4 numeric
@attribute NLargest5 numeric
@attribute NLargest6 numeric
@attribute NLargest7 numeric
@attribute NLargest8 numeric
@attribute NLargest9 numeric
@attribute Proline numeric
@attribute Relaccess numeric
@attribute SPhobic numeric
@attribute SProtFT0 {TRUE,FALSE}
@attribute SProtFT1 {TRUE,FALSE}
@attribute SProtFT10 {TRUE,FALSE}
@attribute SProtFT11 {TRUE,FALSE}
@attribute SProtFT12 {TRUE,FALSE}
@attribute SProtFT2 {TRUE,FALSE}
@attribute SProtFT3 {TRUE,FALSE}
@attribute SProtFT4 {TRUE,FALSE}
@attribute SProtFT5 {TRUE,FALSE}
@attribute SProtFT6 {TRUE,FALSE}
@attribute SProtFT7 {TRUE,FALSE}
@attribute SProtFT8 {TRUE,FALSE}
@attribute SProtFT9 {TRUE,FALSE}
@attribute SSGeom {TRUE,FALSE}
@attribute Voids numeric
@attribute dataset {pd,snp}

@data
0.5,FALSE,0,FALSE,3.5239985584842e-05,0,0.76375,0.732888298361785,1,0.129760280824686,0.192563498413089,0.335799048702383,0.312167715622024,0.374468361718329,0.424527785091633,0.318490084392205,0.320493777480575,0.272682990801281,0.240924134392564,0.129760280824686,0.22625580740714,0.342390738495082,0.312167715622024,0.418932607761032,0.451899003237269,0.328776936198973,0.281061121326488,0.253603322626402,0.284423119280751,0,5.28917071680017e-05,0.802575107296137,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.406467809129869,pd
0.5,FALSE,0.244635193133047,FALSE,3.04867420368172e-05,0,1,0.495032808978,1,0.102556785981582,0.228442629436537,0.485398294872228,0.621105135002003,0.446459415071862,0.496182167426228,0.358396357609586,0.319124803481218,0.307679337542387,0.240686676716215,0.0950398625396211,0.268412611919292,0.475894639816754,0.420209284828598,0.495506398817411,0.528173266293092,0.380699627866129,0.347113005902509,0.328104917566989,0.284142788490419,0,0.00189234774534406,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.385095423779893,pd
0.25,FALSE,0,FALSE,3.20507913276839e-05,0,1,0.346912127459563,1,0.0279348703833481,0.0652391795539066,0.085996703870137,0.0915164007725534,0.117594540741468,0.0737165950694208,0.0781799478025642,0.0804913314751582,0.0729506882906287,0.0645863678092197,0.0264803518717554,0.0744019565054581,0.130767004740381,0.0893342272517903,0.0752751815403099,0.0848818989468061,0.0853580802020329,0.082478495857945,0.084830416859976,0.0828903105664684,0,0.570137342132946,0.626609442060086,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.402332270119999,snp
0.5,TRUE,0.300429184549356,FALSE,2.14201438038238e-05,0,1,0.447181232370407,0.854464742299448,0.0647357764363591,0.217619985405695,0.284157928919222,0.196899195373472,0.211189410481798,0.246179074990679,0.265142018935858,0.256854239775599,0.245792507384579,0.217502750904777,0.0647357764363591,0.255696359443315,0.289735910532956,0.196899195373472,0.234390183572148,0.261804932461284,0.274276220868231,0.279381126990836,0.26210967242118,0.256772992130714,0,0.149442580175013,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.406467809129869,snp
0.5,FALSE,0,FALSE,2.69187545920273e-05,0,1,1,0.967456941104788,0.0212660485477528,0.0589091196820903,0.0674114868999486,0.070471015759809,0.0529276918872595,0.0613645239328005,0.064250471491437,0.0636987152553807,0.0585666319034624,0.0577827813502437,0.0212660485477528,0.0692162873397879,0.068734765247002,0.070471015759809,0.0587422039258644,0.0653209711429759,0.0682488258255645,0.0692852836358253,0.0624546324311245,0.0682154942832542,0,0.258640448051528,0.875536480686695,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.406467809129869,snp
0.5,FALSE,0.141630901287554,FALSE,2.83361742618753e-05,0,1,1,1,0.0352996383109062,0.0464621998716404,0.123104068355276,0.0566535809527426,0.0403938965404708,0.0512071984831162,0.0472882098565523,0.045965175984172,0.0479295077155579,0.0449282644600064,0.0352996383109062,0.0545528264221207,0.125520584524553,0.0566535809527426,0.044831475232189,0.0545087571785163,0.0502309901108307,0.0494021322839984,0.0470402031579158,0.0529099337217917,0,0.0863897883744028,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.406467809129869,pd
0.75,FALSE,0.416309012875536,FALSE,3.30894178099001e-05,0,1,1,1,0.133983147637451,0.147611281573372,0.132654585862681,0.147695378967804,0.189726214576242,0.222618250317637,0.216369801687844,0.190261742305439,0.184698777875614,0.183684113445405,0.133983147637451,0.173438424052415,0.135258577395608,0.147695378967804,0.211676295812058,0.236971451466364,0.229834654384967,0.20694826776063,0.196960178651104,0.216848381089686,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.406467809129869,pd
0.5,FALSE,0.188841201716738,FALSE,2.71631372937253e-05,0,1,0.533876017454005,0.9581977825893,0.0266529417982371,0.242283041593768,0.124535895154539,0.161262023686175,0.211223902297951,0.264647100090653,0.257672451564971,0.260896066468225,0.233744038734952,0.236164380076453,0.0266529417982371,0.256969534193652,0.126980517889734,0.161262023686175,0.234428464578291,0.254429377319557,0.267638922896047,0.240925777721516,0.247265736858111,0.275905568570914,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.406467809129869,pd
0.5,FALSE,0,FALSE,2.87760631249316e-05,0,1,0.442624541540649,1,0.0816554696379184,0.206184116824772,0.416888348293558,0.508046764857814,0.337409558478221,0.399629261155299,0.343289581468005,0.245582889008559,0.222001569548266,0.213046179157576,0.0816554696379184,0.242259588193822,0.425071810041769,0.508046764857814,0.374476580858319,0.425395159333435,0.364652745878501,0.267121244955189,0.236739350969062,0.251511783905008,0,0.333840701931723,0.875536480686695,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.406467809129869,snp
0.5,FALSE,0.124463519313305,FALSE,3.03767698210531e-05,0,1,1,1,0.0038637209947119,0.0224783063573143,0.0135884642963063,0.0177971038240992,0.0226080588801834,0.028167670088373,0.0262244489741489,0.0246474497434653,0.0253042821190151,0.0226623669865985,0.0038637209947119,0.0264112741819271,0.0146850769852644,0.0180828646422944,0.0262254339004812,0.0320566719523871,0.0278564158186237,0.0268091050114467,0.0269841305076506,0.0267540698023668,0,0.227316803695367,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.406467809129869,snp
